,Green Tea St,Hazelnut St,Mango St,Mint Choco,Day,Date_
138,26.0,0.0,104.0,80.0,Thu,2017-08-17
139,52.0,26.0,104.0,40.0,Fri,2017-08-18
140,0.0,52.0,234.0,0.0,Sat,2017-08-19
141,26.0,0.0,52.0,0.0,Sun,2017-08-20
142,52.0,0.0,0.0,0.0,Mon,2017-08-21
143,26.0,26.0,104.0,0.0,Tue,2017-08-22
144,0.0,0.0,0.0,0.0,Wed,2017-08-23
145,0.0,0.0,78.0,0.0,Thu,2017-08-24
146,26.0,52.0,182.0,0.0,Fri,2017-08-25
147,26.0,26.0,0.0,0.0,Sat,2017-08-26
148,0.0,0.0,0.0,0.0,Sun,2017-08-27
149,52.0,78.0,130.0,0.0,Mon,2017-08-28
150,26.0,0.0,104.0,0.0,Tue,2017-08-29
151,52.0,52.0,26.0,0.0,Wed,2017-08-30
152,52.0,26.0,52.0,0.0,Thu,2017-08-31
153,260.0,52.0,78.0,0.0,Fri,2017-09-01
154,130.0,0.0,26.0,0.0,Sat,2017-09-02
155,0.0,0.0,0.0,0.0,Sun,2017-09-03
156,208.0,26.0,26.0,0.0,Mon,2017-09-04
157,182.0,0.0,0.0,0.0,Tue,2017-09-05
158,130.0,130.0,52.0,0.0,Wed,2017-09-06
159,51.16667,104.0,129.16667,0.0,Thu,2017-09-07
160,0.0,234.0,52.0,0.0,Fri,2017-09-08
161,78.0,208.0,50.33334,0.0,Sat,2017-09-09
162,0.0,104.0,26.0,0.0,Sun,2017-09-10
163,104.0,208.0,26.0,0.0,Mon,2017-09-11
164,26.0,130.0,0.0,0.0,Tue,2017-09-12
165,52.0,26.0,0.0,0.0,Wed,2017-09-13
166,26.0,0.0,26.0,0.0,Thu,2017-09-14
167,208.0,26.0,0.0,40.0,Fri,2017-09-15
168,26.0,0.0,0.0,0.0,Sat,2017-09-16
169,0.0,0.0,0.0,0.0,Sun,2017-09-17
170,182.0,52.0,78.0,0.0,Mon,2017-09-18
171,208.0,104.0,52.0,0.0,Tue,2017-09-19
172,130.0,26.0,52.0,0.0,Wed,2017-09-20
173,130.0,0.0,338.0,0.0,Thu,2017-09-21
174,52.0,104.0,182.0,0.0,Fri,2017-09-22
175,104.0,0.0,156.0,40.0,Sat,2017-09-23
176,130.0,0.0,78.0,40.0,Sun,2017-09-24
177,390.0,156.0,572.0,0.0,Mon,2017-09-25
178,260.0,234.0,52.0,0.0,Tue,2017-09-26
179,130.0,390.0,26.0,0.0,Wed,2017-09-27
180,312.0,338.0,0.0,0.0,Thu,2017-09-28
181,260.0,338.0,52.0,0.0,Fri,2017-09-29
182,78.0,52.0,26.0,40.0,Sat,2017-09-30
